Session ID,TC ID,Test Result
2311739,1795673,Passed
2311739,2311446,Passed
2311739,2311220,Passed
2311739,1795163,Passed
2311739,1824895,Passed
2311739,1848821,Passed
2311739,1795253,Passed
2311739,1794305,Passed
2311739,1795143,Passed
2311739,1794969,Passed
2311739,1795281,Passed
2311739,1795523,Passed
2311739,1794821,Passed
2311739,1794396,Passed
2311739,1824899,Passed
2311739,2311416,Passed
2311739,1824857,Passed
2311739,1795862,Passed
2311739,1795019,Passed
2311739,1795848,Passed
2311739,1794967,Passed
2311739,2311384,Passed
2311739,1794805,Passed
2311739,1795151,Passed
2311739,2311236,Passed
2311739,1794605,Passed
2311739,1794235,Passed
2311739,1794253,Passed
2311739,1795635,Passed
2311739,1794889,Passed
2311739,1795443,Passed
2311739,1824883,Passed
2311739,1795079,Passed
2311739,1794488,Passed
2311739,1824901,Passed
2311739,2311464,Passed
2311739,1794725,Passed
2311739,2311268,Passed
2311739,1795333,Passed
2311739,1795203,Passed
2311739,1795641,Passed
2311739,1795657,Passed
2311739,1824891,Passed
2311739,1794629,Passed
2311739,1794687,Passed
2311739,1794533,Passed
2311739,2311722,Passed
2311739,1795345,Passed
2311739,1795269,Passed
2311739,1795411,Passed
2311739,1794444,Passed
2311739,1794125,Passed
2311739,1794366,Passed
2311739,2311398,Passed
2311739,2311280,Passed
2311739,1795449,Passed
2311739,1795601,Passed
2311739,2311680,Passed
2311739,1794893,Passed
2311739,1795211,Passed
2311739,1795559,Passed
2311739,1794462,Passed
2311739,1794327,Passed
2311739,1824903,Passed
2311739,1795373,Passed
2311739,2311632,Passed
2311739,1794434,Passed
2311739,1795637,Passed
2311739,1794911,Passed
2311739,1794859,Passed
2311739,1794599,Passed
2311739,1794879,Passed
2311739,1795231,Passed
2311739,1795445,Passed
2311739,1795337,Passed
2311739,2311488,Passed
2311739,1824875,Passed
2311739,1794175,Passed
2311739,2311228,Passed
2311739,1899154,Passed
2311739,1795131,Passed
2311739,2311224,Passed
2311739,1795009,Passed
2311739,1795095,Passed
2311739,2311634,Passed
2311739,1795311,Passed
2311739,1795093,Passed
2311739,1848451,Passed
2311739,2311334,Passed
2311739,1795309,Passed
2311739,1794279,Passed
2311739,1795621,Passed
2311739,1795687,Passed
2311739,1794343,Passed
2311739,1795521,Passed
2311739,1794651,Passed
2311739,1795479,Passed
2311739,1795105,Passed
2311739,2311258,Passed
2311739,1795695,Passed
2311739,1794157,Passed
2311739,1795649,Passed
2311739,1794655,Passed
2311739,1795043,Passed
2311739,1824933,Passed
2311739,1795279,Passed
2311739,1795291,Passed
2311739,1795223,Passed
2311739,1795473,Passed
2311739,1795273,Passed
2311739,1794827,Passed
2311739,1794937,Passed
2311739,2311272,Passed
2311739,1794474,Passed
2311739,1795465,Passed
2311739,1795191,Passed
2311739,1795850,Passed
2311739,1824849,Passed
2311739,1824841,Passed
2311739,1794857,Passed
2311739,1794557,Passed
2311739,2311480,Passed
2311739,2311276,Passed
2311739,1794229,Passed
2311739,1795467,Passed
2311739,1794127,Passed
2311739,1795575,Passed
2311739,1824867,Passed
2311739,2311274,Passed
2311739,1795289,Passed
2311739,1795665,Passed
2311739,1794195,Passed
2311739,1794711,Passed
2311739,1794775,Passed
2311739,1795663,Passed
2311739,1795165,Passed
2311739,2311684,Passed
2311739,1794289,Passed
2311739,1794981,Passed
2311739,1795609,Passed
2311739,1794331,Passed
2311739,1794353,Passed
2311739,1795153,Passed
2311739,1794625,Passed
2311739,1848825,Passed
2311739,1794685,Passed
2311739,1795369,Passed
2311739,1794783,Passed
2311739,2311286,Passed
2311739,1794871,Passed
2311739,1848827,Passed
2311739,1794757,Passed
2311739,1794595,Passed
2311739,1795487,Passed
2311739,1794205,Passed
2311739,1794187,Passed
2311739,1794571,Passed
2311739,1794349,Passed
2311739,1794807,Passed
2311739,1794961,Passed
2311739,2311262,Passed
2311739,2311444,Passed
2311739,1795441,Passed
2311739,1824911,Passed
2311739,1795209,Passed
2311739,1794189,Passed
2311739,1794539,Passed
2311739,1795551,Passed
2311739,2311652,Passed
2311739,1794809,Passed
2311739,1793598,Passed
2311739,1794899,Passed
2311739,1795563,Passed
2311739,1794649,Passed
2311739,2311250,Passed
2311739,1794215,Passed
2311739,1794426,Passed
2311739,1795639,Passed
2311739,1795539,Passed
2311739,1794811,Passed
2311739,2311422,Passed
2311739,2311234,Passed
2311739,2311230,Passed
2311739,1794360,Passed
2311739,1794985,Passed
2311739,2311356,Passed
2311739,1794663,Passed
2311739,1794719,Passed
2311739,1794759,Passed
