"Time [ns]","O(a3686:zdiff) [ohm]","O(a3687:zdiff) [ohm]","O(a3688:zdiff) [ohm]","O(a3689:zdiff) [ohm]","O(a3690:zdiff) [ohm]"
0,100,100,100,100,100
0.0641025641025641,100,100,100,100,100
0.128205128205128,100,100,100,100,100
0.190664036817883,100,100,100,100,100
0.25,100,100,100,100,100
0.35,100,100,100,100,100
0.45,100,100,100,100,100
0.474880397240306,100,100,100,100,100
0.48971123673222,100,100,100,100,100
0.498007442188583,100,100,100,100,100
0.503427538366161,100,100,100,100,100
0.508847634543738,100,100,100,100,100
0.513131869951767,100,100,100,100,100
0.517416105359795,100,100,100,100,100
0.521700340767824,100,100,100,100,100
0.526989218527112,100,100,100,100,100
0.532278096286401,100,100,100,100,100
0.53756697404569,100,100,100,100,100
0.544230153028409,100,100,100,100,100
0.550893332011129,100,100,100,100,100
0.557556510993849,100,100,100,100,100
0.564219689976568,100,100,100,100,100
0.570882868959288,100,100,100,100,100
0.577546047942007,100,100,100,100,100
0.584209226924727,100,100,100,100,100
0.590872405907447,100,100,100,100,100
0.597535584890166,100,100,100,100,100
0.604198763872886,100,100,100,100,100
0.610861942855605,100,100,100,100,100
0.617525121838325,100,100,100,100,100
0.624188300821044,100,100,100,100,100
0.630851479803764,100,100,100,100,100
0.637514658786484,100,100,100,100,100
0.644177837769203,100,100,100,100,100
0.650841016751923,100,100,100,100,100
0.657504195734642,100,100,100,100,100
0.664167374717362,100,100,100,100,100
0.670830553700082,100,100,100,100,100
0.677493732682801,100,100,100,100,100
0.684156911665521,100,100,100,100,100
0.69082009064824,100,100,100,100,100
0.69748326963096,100,100,100,100,100
0.70414644861368,100,100,100,100,100
0.712401311924859,100,100,100,100,100
0.720656175236038,100,100,100,100,100
0.728911038547217,100,100,100,100,100
0.737165901858396,100,100,100,100,100
0.745420765169575,100,100,100,100,100
0.753675628480754,100,100,100,100,100
0.761930491791933,100,100,100,100,100
0.770185355103112,100,100,100,100,100
0.775917210547244,100,100,100,100,100
0.781649065991376,100,100,100,100,100
0.787380921435508,100,100,100,100,100
0.79311277687964,100,100,100,100,100
0.80000917475528,100,100,100,100,100
0.806905572630921,100,100,100,100,100
0.813801970506562,100,100,100,100,100
0.820698368382203,100,100,100,100,100
0.827594766257844,100,100,100,100,100
0.834491164133484,100,100,100,100,100
0.841387562009125,100,100,100,100,100
0.848283959884766,100,100,100,100,100
0.855180357760407,100,100,100,100,100
0.862076755636048,100,100,100,100,100
0.868973153511688,100,100,100,100,100
0.875869551387329,100,100,100,100,100
0.88276594926297,100,100,100,100,100
0.889662347138611,100,100,100,100,100
0.896558745014251,100,100,100,100,100
0.903455142889892,100,100,100,100,100
0.910351540765533,100,100,100,100,100
0.917247938641174,100,100,100,100,100
0.924144336516815,100,100,100,100,100
0.931040734392455,100,100,100,100,100
0.937937132268096,100,100,100,100,100
0.944833530143737,100,100,100,100,100
0.951729928019378,100,100,100,100,100
0.958626325895018,100,100,100,100,100
0.965522723770659,100,100,100,100,100
0.9724191216463,100,100,100,100,100
0.97931551952194,100,100,100,100,100
0.986211917397581,100,100,100,100,100
0.993108315273222,100,100,100,100,100
1.00000471314886,99.7809803147645,99.7825441002288,99.7826749982533,99.8167156366986,99.8020935045867
1.0069011110245,98.7201165531161,98.4894319215646,98.4858838890413,98.9092250522399,98.6165353432373
1.01379750890014,98.2218795595163,97.0012804038078,96.9778873322039,98.3870725855958,97.2168927111997
1.02069390677578,98.2533477325022,95.8335073948206,95.7720263789828,98.1865332255652,96.0697138051346
1.02759030465142,98.4383501216955,94.9138393130766,94.7869455589051,97.9807610076873,95.1132264975387
1.03448670252707,98.5888634182185,94.1642176092496,93.9365671255223,97.6250715917196,94.2730507753989
1.04138310040271,98.5895383149994,93.5046264374919,93.1412707585494,97.0643128635504,93.4775088739443
1.04827949827835,98.3810641104409,92.8730345894139,92.3474005436077,96.3056381714662,92.6782548199961
1.05517589615399,97.9543185184652,92.2297234270347,91.5293670181888,95.4003281266034,91.8513869677206
1.06207229402963,97.3394108788712,91.5558957721757,90.6853432158845,94.4232113528006,90.9922435525053
1.06896869190527,96.5911272384812,90.8514777219657,89.8311971286234,93.4495482287132,90.1097350426847
1.07586508978091,95.7706490517521,90.1278040331642,88.9904908696787,92.5379164937317,89.218787052391
1.08276148765655,94.9317095413379,89.4009961379345,88.1862402426369,91.7214148714866,88.3353319818953
1.08965788553219,94.1122795402887,88.68649123268,87.4349628852449,91.0066081244787,87.4732215088241
1.09655428340783,93.332035532917,87.9954538223443,86.743597949464,90.3783858037174,86.6426858690313
1.10345068128347,92.5945362499833,87.3332439281931,86.1092274369172,89.8082672683612,85.849854799921
1.11034707915911,91.8923301147647,86.6996497706976,85.5210190791995,89.2636483611436,85.0969074202664
1.11724347703475,91.2130523414768,86.0903034221685,84.9635095812673,88.7158456347721,84.3825478701433
1.12413987491039,90.544822829264,85.4986082344554,84.4202673526194,88.1454497509661,83.7026462805717
1.13103627278604,89.8797674295774,84.917512146314,83.8769611556304,87.5443716335791,83.0509067371746
1.13793267066168,89.2154965808832,84.3411298813987,83.3239936821115,86.9149508094163,82.4199681737452
1.14482906853732,88.5539173825525,83.7652634502196,82.7568281377474,86.2662691915781,81.8022861741239
1.15172546641296,87.8992447450194,83.1875955166507,82.1757294903586,85.6104154346678,81.191163275802
1.1586218642886,87.255600210173,82.6075325021969,81.584652046371,84.9589330775098,80.5817666715166
1.16551826216424,86.6250985171916,82.0258765903904,80.9896871243326,84.3204274334061,79.9718986753828
