"Time [ns]","O(a4966:zdiff) [ohm]","O(a4967:zdiff) [ohm]","O(a4968:zdiff) [ohm]","O(a4969:zdiff) [ohm]","O(a4970:zdiff) [ohm]"
0,100,100,100,100,100
0.0641025641025641,100,100,100,100,100
0.128205128205128,100,100,100,100,100
0.190664036817883,100,100,100,100,100
0.25,100,100,100,100,100
0.35,100,100,100,100,100
0.45,100,100,100,100,100
0.474482859415159,100,100,100,100,100
0.489298605146798,100,100,100,100,100
0.497691000446424,100,100,100,100,100
0.503197724500907,100,100,100,100,100
0.50870444855539,100,100,100,100,100
0.513035322183108,100,100,100,100,100
0.517366195810826,100,100,100,100,100
0.521697069438544,100,100,100,100,100
0.52701417708074,100,100,100,100,100
0.532331284722937,100,100,100,100,100
0.537648392365134,100,100,100,100,100
0.544457362763198,100,100,100,100,100
0.551266333161262,100,100,100,100,100
0.558075303559326,100,100,100,100,100
0.56488427395739,100,100,100,100,100
0.573731623743636,100,100,100,100,100
0.582578973529882,100,100,100,100,100
0.591426323316127,100,100,100,100,100
0.600273673102372,100,100,100,100,100
0.609121022888618,100,100,100,100,100
0.616184172982933,100,100,100,100,100
0.623247323077247,100,100,100,100,100
0.630310473171562,100,100,100,100,100
0.637373623265877,100,100,100,100,100
0.644436773360192,100,100,100,100,100
0.651499923454506,100,100,100,100,100
0.658563073548821,100,100,100,100,100
0.665626223643136,100,100,100,100,100
0.672689373737451,100,100,100,100,100
0.679752523831766,100,100,100,100,100
0.68681567392608,100,100,100,100,100
0.693878824020395,100,100,100,100,100
0.70094197411471,100,100,100,100,100
0.708005124209025,100,100,100,100,100
0.716505598364157,100,100,100,100,100
0.725006072519289,100,100,100,100,100
0.733506546674421,100,100,100,100,100
0.742007020829553,100,100,100,100,100
0.750507494984685,100,100,100,100,100
0.759007969139817,100,100,100,100,100
0.765743337679226,100,100,100,100,100
0.772478706218634,100,100,100,100,100
0.779214074758043,100,100,100,100,100
0.785949443297451,100,100,100,100,100
0.79268481183686,100,100,100,100,100
0.799420180376269,100,100,100,100,100
0.806155548915677,100,100,100,100,100
0.812890917455086,100,100,100,100,100
0.819626285994494,100,100,100,100,100
0.826361654533903,100,100,100,100,100
0.833097023073312,100,100,100,100,100
0.83983239161272,100,100,100,100,100
0.846567760152129,100,100,100,100,100
0.853303128691537,100,100,100,100,100
0.860038497230946,100,100,100,100,100
0.866773865770355,100,100,100,100,100
0.873509234309763,100,100,100,100,100
0.880244602849172,100,100,100,100,100
0.88697997138858,100,100,100,100,100
0.893715339927989,100,100,100,100,100
0.900450708467397,100,100,100,100,100
0.907186077006806,100,100,100,100,100
0.913921445546215,100,100,100,100,100
0.920656814085623,100,100,100,100,100
0.927392182625032,100,100,100,100,100
0.93412755116444,100,100,100,100,100
0.940862919703849,100,100,100,100,100
0.947598288243258,100,100,100,100,100
0.954333656782667,100,100,100,100,100
0.961069025322075,100,100,100,100,100
0.967804393861484,100,100,100,100,100
0.974539762400893,100,100,100,100,100
0.981275130940301,100,100,100,100,100
0.98801049947971,100,100,100,100,100
0.994745868019119,100,100,100,100,100
1.00148123655853,99.5976642595865,99.6302382247497,99.5530752005306,99.5402863209599,99.5570590611965
1.00821660509794,98.2449827835141,98.7172264590707,98.0838742948908,98.0604848609733,98.5287378338315
1.01495197363734,96.7408957337781,98.266001509857,96.508953709928,96.5402668361163,98.1405130525738
1.02168734217675,95.3994310010224,98.058860315892,95.1325698695676,95.2677172488824,98.0628034522852
1.02842271071616,94.163842742816,97.7527685493864,93.8720093234734,94.1440701025802,97.9382906270692
1.03515807925557,92.9851634443946,97.2017630259036,92.6706273743789,93.1014925594383,97.6201342697502
1.04189344779498,91.8249352563637,96.3576498620252,91.4902454701795,92.0893450661914,97.0438134463753
1.04862881633439,90.6624172541536,95.2596623086465,90.3154678989115,91.0808125673162,96.2218942927839
1.0553641848738,89.4888802269942,93.9925256970158,89.1444554186104,90.0637784480516,95.2090885800919
1.06209955341321,88.3046804949788,92.6578757199753,87.9838229679648,89.0365374522395,94.0798273923716
1.06883492195261,87.1173874953287,91.348489338234,86.845063691302,88.0053932770328,92.9081887844888
1.07557029049202,85.9355828837575,90.1175819074226,85.7376342870371,86.9782468789673,91.7408764700894
1.08230565903143,84.7693341216101,88.9980349177579,84.6706936449058,85.9646497914622,90.6114391198291
1.08904102757084,83.6286760322185,87.9866979921181,83.6503716202858,84.9736365395659,89.5289570750123
1.09577639611025,82.5178315301247,87.0635389683655,82.6765615448664,84.007917224841,88.4866325822254
1.10251176464966,81.4419957867967,86.2013713026018,81.7483607353992,83.0700718875253,87.4750579104989
1.10924713318907,80.4041127039261,85.3652425372618,80.8609273469454,82.1589238513533,86.479830116184
1.11598250172848,79.40506476844,84.5251302917207,80.0059061858088,81.2698698172142,85.4912728313002
1.12271787026788,78.4436734100672,83.6659380415083,79.1743334522399,80.3975044013625,84.5087768015473
1.12945323880729,77.5170376024736,82.7824467977902,78.3571236807723,79.5366777281362,83.5373371425551
1.1361886073467,76.6203171307594,81.8783685482008,77.5461389361425,78.6833904948436,82.5851657000964
1.14292397588611,75.747056200852,80.9628653874483,76.7350876666153,77.835319157143,81.6599314660705
1.14965934442552,74.889994403398,80.0468209487808,75.9200933505623,76.9918201835595,80.7654080820773
1.15639471296493,74.0422987792143,79.1398036482586,75.0998761684995,76.1535404484186,79.899483869265
1.16313008150434,73.1989392763402,78.248336309042,74.275582196357,75.3218645548107,79.0540646312343
1.16986545004374,72.3578201786296,77.3755508929189,73.4503343467068,74.4984252625397,78.2168577060454
